nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	hpb+hoy	.hoy			refs/dofus-deobfs/protos/filtered/hpb.proto:18
	hpb+hoz	.hoz			refs/dofus-deobfs/protos/filtered/hpb.proto:20
	hpe	hpe		1:bool:ehwl;2:hpc:ehwm	refs/dofus-deobfs/protos/filtered/hpe.proto:5
	hpe+hpc	.hpc		1:hnb:ehwg;2:hmy:ehwh	refs/dofus-deobfs/protos/filtered/hpe.proto:8
	hpf	hpf		1:string:ehwq;2:jde:ehwr;3:string:ehws	refs/dofus-deobfs/protos/filtered/hpf.proto:4
	hpi	hpi		1:hpg:ehww	refs/dofus-deobfs/protos/filtered/hpi.proto:3
	hpj	hpj		1:string:ehxa;2:jde:ehxb;3:int32:ehxc	refs/dofus-deobfs/protos/filtered/hpj.proto:4
	hpk	hpk		1:bool:ehxg	refs/dofus-deobfs/protos/filtered/hpk.proto:3
	hpl	hpl		1:string:ehxk;2:jde:ehxl;3:bool:ehxm	refs/dofus-deobfs/protos/filtered/hpl.proto:4
	hpm	hpm		1:bool:ehxq	refs/dofus-deobfs/protos/filtered/hpm.proto:3
	hpn	hpn		1:string:ehxu	refs/dofus-deobfs/protos/filtered/hpn.proto:3
	hpo	hpo		1:bool:ehxy;2:hmw:ehxz	refs/dofus-deobfs/protos/filtered/hpo.proto:4
	hpp	hpp		1:string:ehyd	refs/dofus-deobfs/protos/filtered/hpp.proto:3
	hpq	hpq		1:bool:ehyh;2:hmx:ehyi	refs/dofus-deobfs/protos/filtered/hpq.proto:4
