type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
JobCrafterDirectorySettings	97	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobCrafterDirectorySettings.as:8	3	jobId:uint;minLevel:uint;free:Boolean		jobId:writeByte;minLevel:writeByte;free:writeBoolean	client-as3	242
JobDescription	101	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobDescription.as:10	2	jobId:uint;skills:Vector.<SkillActionDescription>		jobId:writeByte;skills#len:writeShort;skills[]#typeId:writeShort;skills[]:serialize	client-as3	242
JobExperience	98	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/job/JobExperience.as:8	5	jobId:uint;jobLevel:uint;jobXP:Number;jobXpLevelFloor:Number;jobXpNextLevelFloor:Number		jobId:writeByte;jobLevel:writeByte;jobXP:writeVarLong;jobXpLevelFloor:writeVarLong;jobXpNextLevelFloor:writeVarLong	client-as3	242
KrosmasterFigure	397	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/web/krosmaster/KrosmasterFigure.as:8	4	uid:String;figure:uint;pedestal:uint;bound:Boolean		uid:writeUTF;figure:writeVarShort;pedestal:writeVarShort;bound:writeBoolean	client-as3	242
MapCoordinates	174	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/MapCoordinates.as:8	2	worldX:int;worldY:int		worldX:writeShort;worldY:writeShort	client-as3	242
MapCoordinatesAndId	392	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/MapCoordinatesAndId.as:8	1	mapId:int	MapCoordinates	super:MapCoordinates;mapId:writeInt	client-as3	242
MapCoordinatesExtended	176	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/MapCoordinatesExtended.as:8	1	subAreaId:uint	MapCoordinatesAndId	super:MapCoordinatesAndId;subAreaId:writeVarShort	client-as3	242
MapObstacle	200	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/interactive/MapObstacle.as:9	2	obstacleCellId:uint;state:uint		obstacleCellId:writeVarShort;state:writeByte	client-as3	242
MonsterBoosts	497	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/MonsterBoosts.as:8	3	id:uint;xpBoost:uint;dropBoost:uint		id:writeVarInt;xpBoost:writeVarShort;dropBoost:writeVarShort	client-as3	242
MonsterInGroupInformations	144	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/MonsterInGroupInformations.as:9	1	look:EntityLook	MonsterInGroupLightInformations	super:MonsterInGroupLightInformations;look:asEntityLook	client-as3	242
MonsterInGroupLightInformations	395	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/MonsterInGroupLightInformations.as:8	2	creatureGenericId:int;grade:uint		creatureGenericId:writeInt;grade:writeByte	client-as3	242
